Date,Demand Met during Evening Peak hrs(MW) (at 20:00 hrs; from RLDCs),Peak Shortage (MW),Energy Met (MU),Hydro Gen (MU),Wind Gen (MU),Solar Gen (MU)*,Energy Shortage (MU),Maximum Demand Met During the Day (MW) (From NLDC SCADA),Time Of Maximum Demand Met
01.04.24,195627.0,0.0,4622.48,270.75,130.99,385.88,0.47,207269.0,10:48
02.04.24,199172.0,153.0,4722.38,270.67,129.459,373.529,1.17,209499.0,10:51
03.04.24,203431.0,206.0,4800.64,279.926,153.0,364.16,2.719,212896.0,10:49
04.04.24,203947.0,1143.0,4863.96,278.996,132.31,363.15,9.581,216469.0,11:12
05.04.24,206337.0,21.0,4910.01,281.83,179.53,337.7858999999999,2.949,218365.0,11:13
06.04.24,205339.0,418.0,4882.66,275.119,151.42,387.06,2.912,215883.0,15:00
07.04.24,191323.0,0.0,4649.45,245.31,148.63,383.45,0.49,204312.0,00:00
08.04.24,200326.0,0.0,4716.64,253.29999999999995,126.84,397.41,0.2,209699.0,10:57
09.04.24,198136.0,0.0,4705.39,241.52999999999997,150.04,359.54,0.01,208147.0,10:57
10.04.24,197997.0,20.0,4720.67,236.12,168.697,361.916,0.59,209647.0,10:29
11.04.24,193679.0,0.0,4650.22,237.83,139.44,362.08,0.615,204821.0,10:58
12.04.24,196696.0,0.0,4650.65,225.56,157.07,345.92,0.1878,206122.0,10:45
13.04.24,191631.0,0.0,4577.16,235.27,142.15,319.53,0.134,201608.0,14:50
14.04.24,188482.0,0.0,4440.13,242.55,128.66,346.442,0.3148,195636.0,22:45
15.04.24,205349.0,129.0,4750.4,290.0,134.93,353.56,2.72,210339.0,10:54
16.04.24,208063.0,118.0,4860.36,332.98,111.29,404.45,5.18,214955.0,22:43
17.04.24,203950.0,140.0,4854.17,313.48,114.97,361.187,1.73,212363.0,22:45
18.04.24,207985.0,0.0,4906.78,305.31,178.08,338.42,0.98,214072.0,22:38
19.04.24,207209.0,0.0,4863.68,306.64,228.09,384.46,3.181,214645.0,22:42
20.04.24,205313.0,0.0,4844.1,290.53,189.43,363.24,2.941,212500.0,22:36
21.04.24,197118.0,0.0,4679.43,289.97,134.66,366.17,2.532,209885.0,00:00
22.04.24,206347.0,586.0,4826.43,291.15,174.44,395.88,1.579,213853.0,22:39
23.04.24,201464.0,505.0,4842.85,289.8,136.26,419.37,1.78,211877.0,15:44
24.04.24,209258.0,740.0,4878.94,301.63,134.97,413.11,3.813,218109.0,22:39
25.04.24,213693.0,207.0,4990.84,317.32,141.5,410.64,1.39,222006.0,22:40
26.04.24,205696.0,50.0,4994.78,323.451,174.45,404.53,0.86,217029.0,22:44
27.04.24,211982.0,1954.0,5015.56,354.17,134.08,405.27,15.108,222968.0,15:49
28.04.24,205106.0,0.0,4873.77,338.76,147.24,395.15,21.507,214119.0,23:12
29.04.24,214064.0,993.0,5051.28,347.06,176.75,405.446,8.788,223110.0,15:20
30.04.24,214556.0,350.0,5108.17,354.4,203.35,426.48,4.27,224181.0,22:42
01.05.24,203445.0,0.0,4848.28,303.9,254.42,425.01,0.233,219379.0,00:00
02.05.24,210482.0,746.0,4973.76,317.66,157.33,421.68,3.626,222034.0,15:32
03.05.24,213269.0,0.0,5045.45,311.9,180.56,385.75,4.09,223849.0,15:34
04.05.24,214402.0,0.0,5112.26,324.0,224.89,397.89,2.3,229778.0,14:51
05.05.24,204691.0,0.0,4969.0,316.76,263.5,401.73,2.776,218085.0,22:45
06.05.24,213644.0,30.0,5130.1,330.64,246.94,396.78,3.26219,233007.0,15:18
07.05.24,202959.0,0.0,4940.83,327.51,216.07,389.38,0.01,224744.0,14:56
08.05.24,212004.0,206.0,4900.4,357.18,171.75,408.8,0.4064,223816.0,15:29
09.05.24,207845.0,26.0,4935.08,375.52,174.23,380.79,0.19,219387.0,14:51
10.05.24,205481.0,0.0,4900.1,400.54,166.95,380.22,0.276,223524.0,14:56
11.05.24,202804.0,0.0,4749.47,425.33,122.45,376.3,0.3,216337.0,14:55
12.05.24,197478.0,0.0,4659.08,390.91,104.69,387.75,0.03,206852.0,22:57
13.05.24,201248.0,276.0,4776.2,391.33,111.27,367.56,0.5967,216992.0,15:02
14.05.24,208356.0,290.0,4848.28,388.27,149.12,381.82,4.5714,220332.0,14:48
15.05.24,214316.0,902.0,4960.9,419.1,107.62,372.23,11.2018,226152.0,15:01
16.05.24,211334.0,132.0,5016.28,420.3,115.65,353.76,6.2006,226371.0,14:31
17.05.24,216305.0,318.0,5050.48,436.72,140.12,347.55,7.968,225926.0,0.6243055555555556
18.05.24,216581.0,0.0,5084.59,464.7,170.18,378.74,6.94,229578.0,15:03
19.05.24,203730.0,40.0,4864.11,478.41,197.94,367.17,2.7,218499.0,00:01
20.05.24,212434.0,11.0,4994.84,479.55,227.2,374.17,0.24,228719.0,15:00
21.05.24,218897.0,1185.0,5075.25,490.46,168.21,398.54,9.47,233806.0,14:59
22.05.24,220040.0,300.0,5167.85,511.745,167.99,382.76,5.027,235062.0,14:49
